"","Artist","Followers","Popularity","num_songs","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","id"
"574","SOB X RBE",443548,61,1,"cali rap","trap","vapor trap",NA,NA,NA,NA,NA,NA,NA,"2TImI3DW7o5MdRXJs4D37h"
"575","sogumm",11202,46,1,"k-indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,"50x9jHrP6wy9fo3jK5pNqS"
"576","Soil & ""Pimp"" Sessions",49748,43,1,"japanese jazz","japanese jazz fusion","japanese jazztronica",NA,NA,NA,NA,NA,NA,NA,"5COMNbVWoe1Kb5UTFAaUwF"
"577","SOLE",33295,53,1,"k-indie","korean pop","korean r&b",NA,NA,NA,NA,NA,NA,NA,"6naXFodImN2DwRmKCQHAUt"
"578","SOYEON of (G)I-DLE",260131,62,1,"k-pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6Xg22wJOAcnvPUfk5WvODH"
"579","Space Cowboy",9111,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7IEs29neldWttflhIzGhCX"
"580","Stephen Marley",474969,64,1,"modern reggae","reggae","roots reggae",NA,NA,NA,NA,NA,NA,NA,"0CIwCGmQMqHqiblnZlFia1"
"581","Steve Lacy",511493,74,1,"afrofuturism","alternative r&b","rap",NA,NA,NA,NA,NA,NA,NA,"57vWImR43h4CaDao012Ofp"
"582","Stevie Stone",136893,54,1,"deep underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2IvPBSC4CgNLYC1GHEAxcN"
"583","Styles P",435925,65,1,"battle rap","east coast hip hop","gangster rap","hardcore hip hop","hip hop","pop rap","rap","southern hip hop","trap",NA,"2x8KDZdSONA3872CnhaAlX"
"584","Suga Bang",390,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1Oy0p6HJJzUDHWt7GdONnm"
"585","SUPERBEE",34635,49,1,"k-rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0Q5XzDpn7DCI5jlubok4xb"
"586","SuperM",1301317,67,1,"k-pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5BHFSMEjfLVx1JwRWjAOsE"
"587","Supreme Boi",6265,52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6sBiS0iWcCyMMgiYrEOxbt"
"588","Survivor",670691,71,1,"album rock","hard rock","rock","soft rock",NA,NA,NA,NA,NA,NA,"26bcq2nyj5GB7uRr558iQg"
"589","Swavay",10795,56,1,"atl hip hop","indie hip hop",NA,NA,NA,NA,NA,NA,NA,NA,"29gIYsdyccGoUc6qgkZeTK"
"590","Sway D",2245,40,1,"k-rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3HfWEOcXit3EkuRCt5M3Yd"
"591","Swing Slow",2622,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"143PqSeGuE4117P3YDV1lQ"
"592","Swizz Beatz",275284,66,1,"battle rap","hip pop","pop rap","rap","southern hip hop","trap",NA,NA,NA,NA,"2cADQgiLMjNhbsfeN52Bf3"
"593","T-SQUARE",31407,43,1,"anime score","japanese jazz","japanese jazz fusion",NA,NA,NA,NA,NA,NA,NA,"7BwOjwl5mKpGVIvzvqEcie"
"594","T.I.",3594822,79,1,"atl hip hop","dance pop","dirty south rap","gangster rap","hip hop","pop rap","rap","southern hip hop","trap",NA,"4OBJLual30L7gRl5UkeRcT"
"595","Tablo",176152,52,1,"k-pop","k-rap","korean r&b",NA,NA,NA,NA,NA,NA,NA,"3NdOtTPPaXrCyC7Lpmzyhv"
"596","TAEYONG",493782,53,1,"k-pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6SKusTjOAPsTZ6kareKQdm"
"597","TANUKI",10215,41,1,"future funk","j-core",NA,NA,NA,NA,NA,NA,NA,NA,"5n3X0T0RlvRxUR6l9dBwB8"
"598","Tarifa Chill Out",3681,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1sgc8KHmYZjlIfQbjOPbMH"
"599","Tavito Nanao",35049,40,1,"j-rock","japanese r&b","japanese singer-songwriter","japanese soul",NA,NA,NA,NA,NA,NA,"6OK5I4qMrrS3taSgczMS1a"
"600","Tempalay",79210,48,1,"j-rock","japanese alternative rock",NA,NA,NA,NA,NA,NA,NA,NA,"5IlQkA8Lq4X0dOWHBumeJP"
"601","Tetsuya Komuro",17605,32,1,"j-pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0YXSqOpIseLknz8JjcX0UH"
"602","The Boys Choir Of Harlem",1155,42,1,"children's choir",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7Cp14KBRtDwGucKNPUyT11"
"603","The Cataracs",97597,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7C64wNX3howEFZjAYRKsfP"
"604","The Furious Five",14057,35,1,"bronx hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"77iR4WkkEWMrhAw8lFFL2v"
"605","The Jackson 5",1078586,75,1,"adult standards","motown",NA,NA,NA,NA,NA,NA,NA,NA,"2iE18Oxc8YSumAU232n4rW"
"606","The Lady Of Rage",21469,42,1,"g funk","gangster rap",NA,NA,NA,NA,NA,NA,NA,NA,"5CxwOBCoGSvWxfDgNoa1Nv"
"607","The Nolans",18659,43,1,"classic uk pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2H32fphWQj9hhVuCOKkchM"
"608","THE ORAL CIGARETTES",373037,64,1,"j-pop","j-poprock","j-rock","japanese indie rock",NA,NA,NA,NA,NA,NA,"4rqJz9fE9prZvQd8WsQv6q"
"609","The Pharcyde",446019,63,1,"alternative hip hop","hardcore hip hop","hip hop","jazz rap","rap","west coast rap",NA,NA,NA,NA,"7yk35uHNQclPXFGFoTU44w"
"610","The Product G&B",1683,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"782IpIScTpnDhYb9hyxOu1"
"611","The Pussycat Dolls",4009306,74,1,"dance pop","girl group","pop","pop dance","pop rap","post-teen pop","urban contemporary",NA,NA,NA,"6wPhSqRtPu1UhRCDX5yaDJ"
"612","The Sugarhill Gang",222541,57,1,"east coast hip hop","funk","hip hop","hip house","new jersey rap","old school hip hop","rap",NA,NA,NA,"7zliF6Q946WznVk3ZMYhZX"
"613","The Underachievers",321693,56,1,"psychedelic hip hop","rap","underground hip hop",NA,NA,NA,NA,NA,NA,NA,"51Pn4gGnZuyOMDfIT1Zy3N"
"614","The Upsetters",36864,55,1,"dub","reggae","rock steady","roots reggae","ska",NA,NA,NA,NA,NA,"12CNljuN6DW9e5x61FS03b"
"615","Thea Van Seijen",285,22,1,"wu fam",NA,NA,NA,NA,NA,NA,NA,NA,NA,"48ZI8lhMUQFmOMsegaT1x9"
