Artist,Followers,Popularity,num_songs,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,id
Skylar Grey,435395,74,1,piano rock,viral pop,NA,NA,NA,NA,NA,NA,NA,NA,4utLUGcTvOJFr6aqIJtYWV
Skyzoo,52490,43,1,alternative hip hop,boom bap,hardcore hip hop,hip hop,soul flow,NA,NA,NA,NA,NA,0qHfqHyHZnxvv1lfkJraQc
slowthai,296996,71,1,hip hop,rap,uk alternative hip hop,uk hip hop,NA,NA,NA,NA,NA,NA,3r1XkJ7vCs8kHBSzGvPLdP
Smokey & Miho,715,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4ugKaIEVH5GFg8H1mGAB0a
Snacky Chan,1822,27,1,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,4UTKdKB32XqCsQGLjZEfmw
SOB X RBE,445137,61,1,cali rap,trap,vapor trap,NA,NA,NA,NA,NA,NA,NA,2TImI3DW7o5MdRXJs4D37h
sogumm,11674,47,1,k-indie,NA,NA,NA,NA,NA,NA,NA,NA,NA,50x9jHrP6wy9fo3jK5pNqS
"Soil & ""Pimp"" Sessions",49968,43,1,japanese jazz,japanese jazz fusion,japanese jazztronica,NA,NA,NA,NA,NA,NA,NA,5COMNbVWoe1Kb5UTFAaUwF
SOLE,34032,53,1,chill r&b,k-indie,korean pop,korean r&b,NA,NA,NA,NA,NA,NA,6naXFodImN2DwRmKCQHAUt
SOYEON of (G)I-DLE,260292,62,1,k-pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,6Xg22wJOAcnvPUfk5WvODH
Space Cowboy,9123,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7IEs29neldWttflhIzGhCX
Stephen Marley,476185,64,1,modern reggae,reggae,roots reggae,NA,NA,NA,NA,NA,NA,NA,0CIwCGmQMqHqiblnZlFia1
Steve Lacy,516195,74,1,afrofuturism,alternative r&b,rap,NA,NA,NA,NA,NA,NA,NA,57vWImR43h4CaDao012Ofp
Stevie Stone,137553,54,1,deep underground hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,2IvPBSC4CgNLYC1GHEAxcN
Styles P,437926,65,1,battle rap,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop,trap,NA,2x8KDZdSONA3872CnhaAlX
Suga Bang,389,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1Oy0p6HJJzUDHWt7GdONnm
SUPERBEE,34869,49,1,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,0Q5XzDpn7DCI5jlubok4xb
SuperM,1315280,68,1,k-pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,5BHFSMEjfLVx1JwRWjAOsE
Supreme Boi,6278,53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6sBiS0iWcCyMMgiYrEOxbt
Survivor,673653,71,1,album rock,hard rock,rock,soft rock,NA,NA,NA,NA,NA,NA,26bcq2nyj5GB7uRr558iQg
Swavay,10958,56,1,atl hip hop,indie hip hop,NA,NA,NA,NA,NA,NA,NA,NA,29gIYsdyccGoUc6qgkZeTK
Sway D,2268,40,1,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,3HfWEOcXit3EkuRCt5M3Yd
Swing Slow,2669,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143PqSeGuE4117P3YDV1lQ
Swizz Beatz,276015,66,1,battle rap,hip pop,pop rap,rap,southern hip hop,trap,NA,NA,NA,NA,2cADQgiLMjNhbsfeN52Bf3
T-SQUARE,31605,44,1,anime score,japanese jazz,japanese jazz fusion,NA,NA,NA,NA,NA,NA,NA,7BwOjwl5mKpGVIvzvqEcie
T.I.,3602778,79,1,atl hip hop,dance pop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,NA,4OBJLual30L7gRl5UkeRcT
Tablo,176980,52,1,k-pop,k-rap,korean r&b,NA,NA,NA,NA,NA,NA,NA,3NdOtTPPaXrCyC7Lpmzyhv
TAEYONG,503485,53,1,k-pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,6SKusTjOAPsTZ6kareKQdm
TANUKI,10292,41,1,future funk,j-core,NA,NA,NA,NA,NA,NA,NA,NA,5n3X0T0RlvRxUR6l9dBwB8
Tarifa Chill Out,3681,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1sgc8KHmYZjlIfQbjOPbMH
Tavito Nanao,35235,40,1,j-rock,japanese r&b,japanese singer-songwriter,japanese soul,NA,NA,NA,NA,NA,NA,6OK5I4qMrrS3taSgczMS1a
Tempalay,79968,49,1,j-rock,japanese alternative rock,NA,NA,NA,NA,NA,NA,NA,NA,5IlQkA8Lq4X0dOWHBumeJP
Tetsuya Komuro,17648,33,1,j-pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,0YXSqOpIseLknz8JjcX0UH
The Boys Choir Of Harlem,1162,42,1,children's choir,NA,NA,NA,NA,NA,NA,NA,NA,NA,7Cp14KBRtDwGucKNPUyT11
The Cataracs,97742,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7C64wNX3howEFZjAYRKsfP
The Furious Five,14147,35,1,bronx hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,77iR4WkkEWMrhAw8lFFL2v
The Jackson 5,1081767,75,1,adult standards,motown,NA,NA,NA,NA,NA,NA,NA,NA,2iE18Oxc8YSumAU232n4rW
The Lady Of Rage,21533,42,1,g funk,gangster rap,NA,NA,NA,NA,NA,NA,NA,NA,5CxwOBCoGSvWxfDgNoa1Nv
The Nolans,18739,44,1,classic uk pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,2H32fphWQj9hhVuCOKkchM
THE ORAL CIGARETTES,375164,64,1,j-pop,j-poprock,j-rock,japanese indie rock,NA,NA,NA,NA,NA,NA,4rqJz9fE9prZvQd8WsQv6q
The Pharcyde,448076,63,1,alternative hip hop,hardcore hip hop,hip hop,jazz rap,rap,west coast rap,NA,NA,NA,NA,7yk35uHNQclPXFGFoTU44w
The Product G&B,1689,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782IpIScTpnDhYb9hyxOu1
The Pussycat Dolls,4025607,74,1,dance pop,girl group,pop,pop dance,pop rap,post-teen pop,urban contemporary,NA,NA,NA,6wPhSqRtPu1UhRCDX5yaDJ
The Sugarhill Gang,223547,57,1,east coast hip hop,funk,hip hop,hip house,new jersey rap,old school hip hop,rap,NA,NA,NA,7zliF6Q946WznVk3ZMYhZX
The Underachievers,322374,56,1,psychedelic hip hop,rap,underground hip hop,NA,NA,NA,NA,NA,NA,NA,51Pn4gGnZuyOMDfIT1Zy3N
The Upsetters,36991,55,1,dub,reggae,rock steady,roots reggae,ska,NA,NA,NA,NA,NA,12CNljuN6DW9e5x61FS03b
