Artist,Followers,Popularity,num_songs,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,id
Kanye West,13197953,92,49,chicago rap,rap,NA,NA,NA,NA,NA,NA,NA,NA,5K4W6rqBFWDnAN6FQUkS6x
f(x),930378,57,33,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,3wRA5UYoo08BBKJnzyKkpF
BTS,28253863,97,31,k-pop,k-pop boy group,NA,NA,NA,NA,NA,NA,NA,NA,3Nrfpe0tUJi4K4DXYWgMUX
Yu Hayami,9212,38,27,classic city pop,techno kayo,NA,NA,NA,NA,NA,NA,NA,NA,1EgJAueSbwh56nECF6YQHX
BoA,555224,62,26,j-idol,k-pop,NA,NA,NA,NA,NA,NA,NA,NA,4muJrGMndyYWqZtfk8OWy4
Justin Timberlake,10235715,84,25,dance pop,pop,NA,NA,NA,NA,NA,NA,NA,NA,31TPClRtHm23RisEBtV3X7
IU,3119291,77,23,k-pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,3HqSLMAZ3g3d5poNaI7GOU
Sakanaction,817118,61,23,hokkaido indie,j-pop,j-poprock,j-rock,japanese electropop,NA,NA,NA,NA,NA,0hCWVMGGQnRVfDgmhwLIxq
Sheena Ringo,971200,61,20,j-pop,j-poprock,j-rock,NA,NA,NA,NA,NA,NA,NA,2XjqKvB2Xz9IdyjWPIHaXi
Kendrick Lamar,16345948,89,19,conscious hip hop,hip hop,rap,west coast rap,NA,NA,NA,NA,NA,NA,2YZyLoL8N0Wb9xBt1NhZWg
Red Velvet,4706116,77,19,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,1z4g3DjTBBZKhvAroFlhOM
Drake,52445075,98,18,canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap,NA,NA,NA,NA,3TVXtAsR1Inumwj472S9r4
Madonna,4735247,80,18,dance pop,pop,NA,NA,NA,NA,NA,NA,NA,NA,6tbjWDEIzxoDsBA1FuhfPW
Paloalto,20383,54,17,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,2Yv0nlRtzgPl6u0dsS2hFv
YELLOW MAGIC ORCHESTRA,164735,50,17,classic j-rock,electro,proto-techno,shibuya-kei,synthesizer,techno kayo,zolo,NA,NA,NA,2JIf5JxI3ypOSfrfNIIMQE
Lady Gaga,15896566,89,16,dance pop,pop,pop dance,NA,NA,NA,NA,NA,NA,NA,1HY2Jd0NmPuamShAr6KMms
"Royce Da 5'9""",549008,69,16,alternative hip hop,detroit hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop,NA,NA,6DVipHzYsPlIoA0DW8Gmns
Wink,47962,46,14,classic city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,43sb4bVUPB5mWHAsm9bdT5
CAPSULE,61310,41,13,japanese dance pop,japanese electropop,shibuya-kei,NA,NA,NA,NA,NA,NA,NA,61KJdJU38zrAW4c3PI9C9N
Gwen Stefani,4426363,78,13,dance pop,europop,hip pop,pop,pop dance,post-teen pop,urban contemporary,NA,NA,NA,4yiQZ8tQPux8cPriYMWUFP
Hikaru Utada,1815896,67,13,classic j-pop,j-pop,japanese singer-songwriter,NA,NA,NA,NA,NA,NA,NA,7lbSsjYACZHn1MSDXPxNF2
Ariana Grande,57038752,98,12,dance pop,pop,post-teen pop,NA,NA,NA,NA,NA,NA,NA,66CXWjxzNUsdJxJ2JdwvnR
Eminem,41247208,94,12,detroit hip hop,hip hop,rap,NA,NA,NA,NA,NA,NA,NA,7dGJo4pcD2V6oG8kP0tJRR
EXO,7214157,76,11,k-pop,k-pop boy group,NA,NA,NA,NA,NA,NA,NA,NA,3cjEqqelV9zb4BYE3qDQ4O
Hopsin,1808563,69,11,conscious hip hop,hip hop,pop rap,rap,NA,NA,NA,NA,NA,NA,7EWU4FhUJM1sZQgQKdENeT
Mondo Grosso,84819,48,11,japanese jazztronica,shibuya-kei,NA,NA,NA,NA,NA,NA,NA,NA,4d2zOuYJHBPJTpVblHEKJb
ONEPIXCEL,6732,29,11,idol rock,j-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,3REyUkjK0a9iovtPazhQvD
Tech N9ne,1877126,75,11,hip hop,kansas city hip hop,pop rap,rap,NA,NA,NA,NA,NA,NA,6UBA15slIuadJ8h2lPRPos
TWICE,7817560,85,11,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,7n2Ycct7Beij7Dj7meI4X0
youra,10161,50,11,k-indie,NA,NA,NA,NA,NA,NA,NA,NA,NA,5q9adPv91NFr8q2ZcKmX0V
BLACKPINK,18673331,89,10,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,41MozSoPIsD1dJM0CLPjZF
Gorillaz,6474697,82,10,alternative hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,3AA28KZvwAUcZuOKwyblJQ
Gotan Project,277810,55,10,electronica,jazztronica,neotango,nu jazz,world,NA,NA,NA,NA,NA,44ejFPE33H5aOInxNV2BFP
Hiromi Iwasaki,45778,45,10,classic city pop,kayokyoku,NA,NA,NA,NA,NA,NA,NA,NA,7ef2Bdyd1lXJmutAbN4ZyO
HyunA,1183844,62,10,k-pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,3UwlejyX2b458azZ7eCnHb
Izumi Makura,26026,38,10,japanese chill rap,kyushu indie,NA,NA,NA,NA,NA,NA,NA,NA,012ldd58H1N5UZLxjMzV29
Namie Amuro,813282,63,10,classic j-pop,j-pop,okinawan pop,NA,NA,NA,NA,NA,NA,NA,4BmWSGKG6HiYvLuJvZ9afa
Nicki Minaj,20172637,91,10,dance pop,hip pop,pop,pop dance,pop rap,post-teen pop,queens hip hop,NA,NA,NA,0hCNtLu0JehylgoiP8L4Gh
Rich Brian,1718090,73,10,indonesian hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,2IDLDx25HU1nQMKde4n61a
Swervy,8010,41,10,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,0YE7929Kw8hXmap9LKxUiC
TeddyLoid,55676,54,10,otacore,NA,NA,NA,NA,NA,NA,NA,NA,NA,3GfNJrDTZY7voXPDx8gH9I
ATARASHII GAKKO!,18998,47,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4OfU76YhPU04wlmbVFFgTJ
Britney Spears,8425922,83,9,dance pop,pop,pop dance,pop rap,post-teen pop,NA,NA,NA,NA,NA,26dSoYclwsYLMAKD3tpOr4
Kim Wan-sun,1300,21,9,classic korean pop,korean city pop,NA,NA,NA,NA,NA,NA,NA,NA,3e0aTvNjIG93ye2YlL90UF
Rihanna,40890553,91,9,barbadian pop,dance pop,pop,pop dance,post-teen pop,r&b,urban contemporary,NA,NA,NA,5pKCCKE2ajJHZ9KAiaK11H
YUKIKA,36650,49,9,k-indie,korean city pop,NA,NA,NA,NA,NA,NA,NA,NA,4RfI1z9u2xIc5Qnqac4JbO
Capcom Sound Team,99369,60,8,anime score,japanese vgm,sound team,NA,NA,NA,NA,NA,NA,NA,3w1Q754jb31h5CXQCcnLNL
HUS,11283,29,8,k-indie,korean city pop,NA,NA,NA,NA,NA,NA,NA,NA,23m7tUHLULVyBAAIYHbsgT
JUSTHIS,25502,55,8,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,0Ch0t9gI47Lkal71uQnmV3
Kiyotaka Sugiyama,30553,54,8,classic city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,5Zc8dRhik5WK1nxjzcqwfC
Michael Jackson,17265838,85,8,pop,r&b,soul,NA,NA,NA,NA,NA,NA,NA,3fMbdgg4jU18AjLCKBhRSm
No Buses,45783,47,8,j-indie,japanese garage rock,NA,NA,NA,NA,NA,NA,NA,NA,5Tj6sv1bYiB4PqvvXcTSr6
Orange Caramel,227631,46,8,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,2QHTtUsN6Q13w3QHdfRqsK
Pink Martini,280619,63,8,adult standards,lounge,vocal jazz,NA,NA,NA,NA,NA,NA,NA,6KyUat70qaniuiZq63HzFZ
Qwala,1475,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2zb68oKonEt9aaoBO0TZP8
Reol,181129,65,8,anime rock,japanese electropop,otacore,NA,NA,NA,NA,NA,NA,NA,7rpKUJ0AnklJ8q9nIPVSpZ
Rina Sawayama,415574,69,8,art pop,dance pop,electropop,escape room,pop,pop dance,NA,NA,NA,NA,2KEqzdPS7M5YwGmiuPTdr5
S. Kiyotaka & Omega Tribe,25732,53,8,classic city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,7bG2PIfT22HGxisl6LAohx
Sade,2264500,73,8,british soul,neo soul,sophisti-pop,NA,NA,NA,NA,NA,NA,NA,47zz7sob9NUcODy0BTDvKx
Saori Yuki,11785,43,8,kayokyoku,NA,NA,NA,NA,NA,NA,NA,NA,NA,4xMe6s0HgL2CSpUpJO5bd6
Satellite Young,7348,28,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6zV5EDvJzqY6i7ixlEKSvU
SUNMI,1975196,66,8,k-pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,6MoXcK2GyGg7FIyxPU5yW6
池田典代,1403,22,7,classic city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,5FlsplkyPTzOB2aWgz2X1M
A Tribe Called Quest,1380013,71,7,alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,jazz rap,queens hip hop,rap,NA,09hVIj6vWgoCDtT03h8ZCa
Bajune Tobeta,817,16,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1fAAIQj0OEjNlUeGTW26W7
Cibo Matto,56914,42,7,shibuya-kei,trip hop,NA,NA,NA,NA,NA,NA,NA,NA,2te8VJxgUxcElC8Uq6eJs6
Hideyuki Fukasawa,796,39,7,japanese vgm,sound team,NA,NA,NA,NA,NA,NA,NA,NA,3cDGDsZOLwD5aBLoX0GICu
LEEBADA,35983,44,7,k-indie,korean r&b,NA,NA,NA,NA,NA,NA,NA,NA,17vCFclNbTzsDfPgsaWaQO
School Food Punishment,23160,32,7,j-poprock,japanese post-rock,NA,NA,NA,NA,NA,NA,NA,NA,3xMxj310bLRnpvtcNPU92a
SUPER JUNIOR,1890124,67,7,k-pop,k-pop boy group,korean pop,NA,NA,NA,NA,NA,NA,NA,6gzXCdfYfFe5XKhPKkYqxV
1986 Omega Tribe,20783,45,6,classic city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,0ECegKslGWO6zz3XzTyIwQ
Jvcki Wai,50385,49,6,k-rap,korean r&b,NA,NA,NA,NA,NA,NA,NA,NA,4bjcB3ZKiHgPzJvY2S2FLN
Natsu Summer,3579,26,6,city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,4l3pCmSMjqdSkhWUZp6jCD
Soutaiseiriron,131799,48,6,j-poprock,j-rock,japanese alternative rock,japanese indie pop,shibuya-kei,NA,NA,NA,NA,NA,1bj13qFAwnyM3ILOiFnn1Y
YESEO,28499,34,6,k-indie,korean electropop,korean r&b,NA,NA,NA,NA,NA,NA,NA,3ZjoQ5yuRyPhZSIw5nCVBb
(G)I-DLE,2191936,79,5,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,2AfmfGFbe0A0WsTYm0SDTx
Akina Nakamori,192459,54,5,j-pop,japanese new wave,kayokyoku,techno kayo,NA,NA,NA,NA,NA,NA,7140bcJ0ZySe314nUfOo1J
D12,1664047,67,5,detroit hip hop,gangster rap,hip hop,pop rap,rap,NA,NA,NA,NA,NA,5Qi4Bb7a8C0a00NZcA77L0
Danny Brown,582605,64,5,alternative hip hop,detroit hip hop,escape room,hip hop,rap,underground hip hop,NA,NA,NA,NA,7aA592KWirLsnfb5ulGWvU
DAOKO,256087,62,5,anime,j-pixie,japanese electropop,NA,NA,NA,NA,NA,NA,NA,5Qeyh2XKoITt1mlEVtzazC
frederic,210142,56,5,j-pop,j-poprock,j-rock,NA,NA,NA,NA,NA,NA,NA,3srPc1Mytv5GmTWqsQuoXW
Haruomi Hosono,117121,51,5,classic j-rock,fourth world,japanese folk,japanese psychedelic,japanese singer-songwriter,japanese soundtrack,proto-techno,shibuya-kei,NA,NA,370nbSkMB9kDWyTypwWYak
JAY-Z,5920506,86,5,east coast hip hop,hip hop,pop rap,rap,NA,NA,NA,NA,NA,NA,3nFkdlSjzX9mRTtwJOzDYB
Little Simz,298356,60,5,escape room,indie soul,trap queen,uk alternative hip hop,NA,NA,NA,NA,NA,NA,6eXZu6O7nAUA5z6vLV8NKI
Luli Lee,8364,31,5,k-indie,korean city pop,NA,NA,NA,NA,NA,NA,NA,NA,3h4p2PKHb9JejBCHmWlthK
Lupe Fiasco,1528016,70,5,alternative hip hop,chicago rap,conscious hip hop,hip hop,political hip hop,pop rap,rap,southern hip hop,NA,NA,01QTIT5P1pFP3QnnFSdsJf
Monari Wakita,3119,17,5,city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,2bE5hvtCWXT5F30rcbPI5u
Nucksal,17892,51,5,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,6v5cGuRCZKq08nLI4WXJuB
OOHYO,79992,50,5,k-indie,korean electropop,korean pop,NA,NA,NA,NA,NA,NA,NA,50Zu2bK9y5UAtD0jcqk5VX
POLKADOT STINGRAY,233970,59,5,anime rock,j-pixie,j-pop,j-poprock,j-rock,japanese alternative rock,kyushu indie,NA,NA,NA,5zV9afUO4DVqJeRaZvfNev
Run The Jewels,859783,71,5,hip hop,political hip hop,NA,NA,NA,NA,NA,NA,NA,NA,4RnBFZRiMLRyZy0AzzTg2C
SOMA,2332,29,5,korean r&b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2YZhod6BAbnBKh2nPdUejY
アトラスサウンドチーム,45166,68,4,japanese vgm,NA,NA,NA,NA,NA,NA,NA,NA,NA,4hFBhdNVZZuVk5FYThUwaN
田村芽実,3624,21,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1kzM8g2NVR1BAA2xuyFvQz
Alter Bridge,809254,66,4,alternative metal,nu metal,post-grunge,rock,NA,NA,NA,NA,NA,NA,4DWX7u8BV0vZIQSpJQQDWU
BIBI,107031,62,4,k-pop,korean r&b,NA,NA,NA,NA,NA,NA,NA,NA,6UbmqUEgjLA6jAcXwbM1Z9
Chambao,281087,51,4,flamenco,rumba,spanish pop,NA,NA,NA,NA,NA,NA,NA,2qhLqZ1pkiUl5HNrU2Nz0R
Copywrite,11085,30,4,ohio hip hop,underground rap,NA,NA,NA,NA,NA,NA,NA,NA,05YQdfjpG35u5fmVn7Y0sc
El-P,129926,48,4,abstract hip hop,alternative hip hop,east coast hip hop,experimental hip hop,turntablism,NA,NA,NA,NA,NA,57UnSUpae3SbRekxNa5Kgl
Gesu No Kiwami Otome,287019,55,4,j-pop,j-rock,NA,NA,NA,NA,NA,NA,NA,NA,1ieluXFoq2RRxMXZIQksTz
Huckleberry P,5532,36,4,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,4meeMnr8eLacsB31ApsXZS
Lil Wayne,10037551,90,4,hip hop,new orleans rap,pop rap,rap,trap,NA,NA,NA,NA,NA,55Aa2cqylxrFIXC767Z865
MHz,1419,8,4,ohio hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,6Us0gGqIRKYghX6OGEVGs2
Nelly Furtado,2361364,77,4,canadian latin,canadian pop,dance pop,pop,pop dance,pop rap,NA,NA,NA,NA,2jw70GZXlAI8QzWeY2bgRc
Poppy,783756,67,4,dance pop,electropop,escape room,modern rock,pop,NA,NA,NA,NA,NA,5mlbvTfWUOfDrUIK6dkNzv
Raina,2985,33,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2lkUAt5tu0ucVOMFT9hYtg
Rainbow note,4922,29,4,korean city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,5qgNxAqFqHpGVqZQHvrm17
Rammstein,5453134,80,4,alternative metal,german metal,industrial,industrial metal,industrial rock,neue deutsche harte,nu metal,NA,NA,NA,6wWVKhxIU2cEi0K81v7HvP
RZA,345440,60,4,alternative hip hop,east coast hip hop,hardcore hip hop,hip hop,NA,NA,NA,NA,NA,NA,4iCwCMnqsNZ6atvRiADgtn
Talking Heads,1483177,72,4,art punk,art rock,dance rock,funk rock,new wave,permanent wave,post-punk,rock,zolo,NA,2x9SpqnPi8rlE9pjHBwmSC
YAKUSHIMARU Etsuko,66885,43,4,denpa-kei,NA,NA,NA,NA,NA,NA,NA,NA,NA,6h32A03szyWpPmQCZSJ4Mi
YooA,32124,50,4,k-pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,4ur1jCwyNlhgd0viJkOtcQ
Yung Bae,131133,64,4,future funk,NA,NA,NA,NA,NA,NA,NA,NA,NA,30FDJPN3RtwJZ20g5YGCRX
Akon,2596702,83,3,dance pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,0z4gvV4rjIZ9wHck67ucSV
AOA,577486,56,3,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,54gWVQFHf8IIqbjxAoOarN
Asako Toki,55125,49,3,japanese jazz fusion,japanese r&b,shibuya-kei,NA,NA,NA,NA,NA,NA,NA,4VIGlACQnSacU0b1HTLA7y
Beyoncé,25932520,88,3,dance pop,pop,pop dance,post-teen pop,r&b,NA,NA,NA,NA,NA,6vWDO969PvNqNYHIOW5v0m
Busdriver,74254,47,3,abstract hip hop,alternative hip hop,NA,NA,NA,NA,NA,NA,NA,NA,43SXnO2N4X024u3l9MfvXD
Carpenter Brut,276351,62,3,cyberpunk,darksynth,synthwave,NA,NA,NA,NA,NA,NA,NA,1l2oLiukA9i5jEtIyNWIEP
Far East Movement,1004335,70,3,asian american hip hop,dance pop,edm,pop,pop dance,pop rap,NA,NA,NA,NA,698hF4vcwHwPy8ltmXermq
H ZETTRIO,41095,46,3,japanese jazz,japanese jazz fusion,NA,NA,NA,NA,NA,NA,NA,NA,5Ga4ie7tlXW9Fc6ObLbSCY
Hash Swan,54088,49,3,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,3yVEZNS0ateVfoj8FuazKg
HEIZE,613963,67,3,k-pop,korean pop,korean r&b,NA,NA,NA,NA,NA,NA,NA,5dCvSnVduaFleCnyy98JMo
Junko Ohashi,41865,52,3,classic city pop,kayokyoku,NA,NA,NA,NA,NA,NA,NA,NA,7rGbODPTIVjzn3CTR6RCzE
Keiichi Okabe,9789,56,3,anime score,japanese vgm,NA,NA,NA,NA,NA,NA,NA,NA,0fj8MsM0gSugGUVd9RGV06
Kid Cudi,4535641,89,3,hip hop,ohio hip hop,rap,NA,NA,NA,NA,NA,NA,NA,0fA0VVWsXO9YnASrzqfmYu
King Gnu,1550265,72,3,j-pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,6wxfx1yhyqjCPYwwxJktR2
Kohmi Hirose,107760,50,3,classic j-pop,j-pop,japanese singer-songwriter,NA,NA,NA,NA,NA,NA,NA,0jMZY406RfgjK6PFKIRfAv
Krizz Kaliko,269634,65,3,country rap,kansas city hip hop,southern hip hop,NA,NA,NA,NA,NA,NA,NA,3SEJQy90Vgg1aSnZ9b4AU9
KXNG Crooked,66949,61,3,cali rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,6fFfnKGVI6X3lkCr8Qw1g1
LADIES' CODE,90875,42,3,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,4epPY1AW9lQeVUM1XaFiwi
LOONA,1052282,71,3,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,52zMTJCKluDlFwMQWmccY7
Missy Elliott,1547686,76,3,dance pop,hip hop,hip pop,pop,pop rap,r&b,urban contemporary,virginia hip hop,NA,NA,2wIVse2owClT7go1WT98tk
nica,614,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58R91elnUAarOAhU4lY7VH
Otoboke Beaver,43224,40,3,j-punk,japanese girl punk,japanese pop punk,japanese punk rock,NA,NA,NA,NA,NA,NA,0HutkALC7kq2L8b9bnZUkq
RM,4522368,70,3,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,2auC28zjQyVTsiZKNgPRGs
SEAPOOL,1835,13,3,japanese indie rock,kansai indie,NA,NA,NA,NA,NA,NA,NA,NA,0iuh3bi0fF2wlYvZG01vZn
Shizuka Kudo,65234,48,3,classic j-pop,j-pop,NA,NA,NA,NA,NA,NA,NA,NA,7sU5H7XSVz0GC1RyM7jY2W
Tage,131,14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00YrqcA1jmgdArw3G7MY8x
Timbaland,1848808,79,3,dance pop,hip hop,hip pop,pop,pop dance,pop rap,urban contemporary,NA,NA,NA,5Y5TRrQiqgUO4S36tzjIRZ
Tokyo Girls' Style,18537,27,3,alt-idol,idol rock,j-idol,j-pop girl group,NA,NA,NA,NA,NA,NA,2mUoXdIOsE0kFnXdNzS3wx
Yuri Tanaka,6775,40,3,classic city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,2SdovVmFnr5G1SlQzG5Hp0
ZICO,867194,70,3,k-pop,korean pop,korean r&b,NA,NA,NA,NA,NA,NA,NA,4XpUIb8uuNlIWVKmgKZXC0
강수지,546,22,2,classic korean pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,6yvfQfQ8CS9aXvGlyHEdoi
2 Chainz,6081018,83,2,atl hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,NA,NA,NA,17lzZA2AlOHwCwFALHttmp
2NE1,1724053,62,2,dance pop,k-pop,k-pop girl group,pop dance,NA,NA,NA,NA,NA,NA,1l0mKo96Jh9HVYONcRl3Yp
A crow is white,22280,34,2,denpa-kei,japanese indie pop,NA,NA,NA,NA,NA,NA,NA,NA,6Ihais1Q3Uht375CjQqeSR
ACO,19592,33,2,shibuya-kei,NA,NA,NA,NA,NA,NA,NA,NA,NA,1G29J8b3UnUFUilGCbUlXf
Ai Haruna,120,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72xYcNsQtz46g9FdguuYUD
Aseul,13358,31,2,k-indie,korean dream pop,korean electropop,NA,NA,NA,NA,NA,NA,NA,7K1yj70w0ldP7bMDqiiHMo
Astro Chillberto,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6bBZs4k8Hp7QKyFwzePMBJ
B-Free,14200,34,2,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,5xHC23kCM6goKp7bDDXE3T
Bad Meets Evil,1126572,64,2,detroit hip hop,gangster rap,hip hop,pop rap,rap,NA,NA,NA,NA,NA,77IURH5NC56Jn09QHi76is
Big Sean,8088487,86,2,detroit hip hop,hip hop,pop rap,rap,southern hip hop,trap,NA,NA,NA,NA,0c173mlxpT3dSFRgMO8XPh
Black Eyed Peas,5283981,86,2,dance pop,pop,pop dance,pop rap,NA,NA,NA,NA,NA,NA,1yxSLGMDHlW21z4YXirZDS
Bon Iver,2886660,81,2,eau claire indie,indie folk,melancholia,NA,NA,NA,NA,NA,NA,NA,4LEiUm1SRbFMgfqnQTwUbQ
Bronze,2364,38,2,k-indie,NA,NA,NA,NA,NA,NA,NA,NA,NA,4YJiSEvipvRRttmmpvT3U7
Chitose Hajime,38197,35,2,okinawan folk,okinawan pop,ryukyu ongaku,NA,NA,NA,NA,NA,NA,NA,0ii3SuIwfRs4pRH2sQ1J0U
Chris Brown,13025463,90,2,dance pop,pop,pop rap,r&b,rap,NA,NA,NA,NA,NA,7bXgB6jMjp9ATFy66eO08Z
Ciara,4781852,75,2,dance pop,hip pop,pop,post-teen pop,r&b,urban contemporary,NA,NA,NA,NA,2NdeV5rLm47xAvogXrYhJX
clipping.,165857,56,2,alternative hip hop,escape room,experimental hip hop,industrial hip hop,NA,NA,NA,NA,NA,NA,5HJ2kX5UTwN4Ns8fB5Rn1I
Conway the Machine,104776,63,2,alternative hip hop,boom bap,buffalo hip hop,hip hop,underground hip hop,NA,NA,NA,NA,NA,67gqUXxHedeUGDTxwBzdjS
D-Styles,5115,39,2,scratch,turntablism,NA,NA,NA,NA,NA,NA,NA,NA,0Xqx5Wr906GcxJnRNOCPSr
Damian Marley,1160764,70,2,modern reggae,reggae,reggae fusion,NA,NA,NA,NA,NA,NA,NA,3QJzdZJYIAcoET1GcfpNGi
DREAMS COME TRUE,981934,60,2,classic j-pop,j-pop,NA,NA,NA,NA,NA,NA,NA,NA,2mJOGcLR3aCHkM1uAF93or
EXID,1212518,59,2,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,1xs6WFotNQSXweo0GXrS0O
Eyedi,47402,38,2,k-indie,korean r&b,NA,NA,NA,NA,NA,NA,NA,NA,48BSHaU3lXnM3pYHyeqLXN
Frasco,5477,28,2,japanese electropop,NA,NA,NA,NA,NA,NA,NA,NA,NA,2zDndG5Mv76XtMDZ4M6HGh
Fujifabric,218100,51,2,j-pop,j-poprock,j-rock,japanese alternative rock,NA,NA,NA,NA,NA,NA,2QgdUzpKFNxey5IuwvsGBL
G2,17360,46,2,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,4ueZwsEtcqcO0IZywqgk66
Gotye,2232270,71,2,australian pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,2AsusXITU8P25dlRNhcAbG
HELLOVENUS,170365,41,2,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,3TW9U1f93tpGBsEtCSf7JG
HINTO,873,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0k7oisa6USxcsJk3dfA9Co
IA,54450,48,2,anime rock,vocaloid,NA,NA,NA,NA,NA,NA,NA,NA,1oz1HYOyJhjshPi5Nvs3MX
iKON,2858199,68,2,k-pop,k-pop boy group,NA,NA,NA,NA,NA,NA,NA,NA,5qRSs6mvI17zrkJpOHkCoM
Inspectah Deck,132563,56,2,alternative hip hop,east coast hip hop,hardcore hip hop,hip hop,NA,NA,NA,NA,NA,NA,4OBbOrkD4geIjOLrICN3wO
Jedi Mind Tricks,294147,57,2,conscious hip hop,hardcore hip hop,philly rap,political hip hop,underground rap,NA,NA,NA,NA,NA,0PI3pXpUMScjweiw3IbADc
Kenjiro Sakiya,2492,25,2,classic city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,14tdomXFf9cDR8ms2xVN03
Kyary Pamyu Pamyu,345244,55,2,j-idol,japanese electropop,NA,NA,NA,NA,NA,NA,NA,NA,7Gh6fW49xfXLP8DTWaLVJP
Larry Heard,35623,40,2,acid house,chicago house,classic house,deep house,deep soul house,electro,float house,microhouse,outsider house,techno,3j7teie3p6UnbA8nW51Trz
Lexie Liu,58311,68,2,chinese electropop,NA,NA,NA,NA,NA,NA,NA,NA,NA,6fs2or0cKLEM2xohWq8SoX
miss A,596912,54,2,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,1BEohdSWSBggmO979tzRwW
Mizuki Ohira,19879,37,2,japanese r&b,NA,NA,NA,NA,NA,NA,NA,NA,NA,5rNUVqgzCi4FX47RY8n9cx
MOMOLAND,2175071,62,2,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,5RR0MLwcjc87wjSw2JYdwx
Mos Def,994122,68,2,alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,southern hip hop,NA,NA,0Mz5XE0kb1GBnbLQm2VbcO
New Optimism,1288,11,2,experimental club,NA,NA,NA,NA,NA,NA,NA,NA,NA,0rqpu1vmEbsn560Ddv1KRT
ODB,647100,65,2,alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,NA,NA,NA,NA,50NoVNy9GU1lCrDV8iGpyu
